bodyId,type,instance,side,predictedNt,status
20334,LPLC2,LPLC2_R,right,acetylcholine,Traced
20471,LPLC2,LPLC2_R,right,acetylcholine,Traced
20535,LPLC2,LPLC2_R,right,acetylcholine,Traced
20584,LPLC2,LPLC2_R,right,acetylcholine,Traced
20694,LPLC2,LPLC2_R,right,acetylcholine,Traced
20749,LPLC2,LPLC2_R,right,acetylcholine,Traced
21045,LPLC2,LPLC2_R,right,acetylcholine,Traced
21318,LPLC2,LPLC2_R,right,acetylcholine,Traced
21562,LPLC2,LPLC2_R,right,acetylcholine,Traced
21703,LPLC2,LPLC2_R,right,acetylcholine,Traced
21769,LPLC2,LPLC2_R,right,acetylcholine,Traced
21808,LPLC2,LPLC2_R,right,acetylcholine,Traced
21862,LPLC2,LPLC2_R,right,acetylcholine,Traced
21899,LPLC2,LPLC2_R,right,acetylcholine,Traced
22218,LPLC2,LPLC2_R,right,acetylcholine,Traced
22261,LPLC2,LPLC2_R,right,acetylcholine,Traced
22677,LPLC2,LPLC2_R,right,acetylcholine,Traced
23497,LPLC2,LPLC2_R,right,acetylcholine,Traced
23590,LPLC2,LPLC2_R,right,acetylcholine,Traced
23878,LPLC2,LPLC2_R,right,acetylcholine,Traced
24118,LPLC2,LPLC2_R,right,acetylcholine,Traced
24187,LPLC2,LPLC2_R,right,acetylcholine,Traced
24268,LPLC2,LPLC2_R,right,acetylcholine,Traced
24401,LPLC2,LPLC2_R,right,acetylcholine,Traced
24800,LPLC2,LPLC2_R,right,acetylcholine,Traced
25253,LPLC2,LPLC2_R,right,acetylcholine,Traced
25267,LPLC2,LPLC2_R,right,acetylcholine,Traced
25316,LPLC2,LPLC2_R,right,acetylcholine,Traced
25497,LPLC2,LPLC2_R,right,acetylcholine,Traced
25511,LPLC2,LPLC2_R,right,acetylcholine,Traced
25636,LPLC2,LPLC2_R,right,acetylcholine,Traced
26147,LPLC2,LPLC2_R,right,acetylcholine,Traced
26393,LPLC2,LPLC2_R,right,acetylcholine,Traced
26730,LPLC2,LPLC2_R,right,acetylcholine,Traced
26915,LPLC2,LPLC2_R,right,acetylcholine,Traced
27471,LPLC2,LPLC2_R,right,acetylcholine,Traced
27566,LPLC2,LPLC2_R,right,acetylcholine,Traced
28003,LPLC2,LPLC2_R,right,acetylcholine,Traced
28044,LPLC2,LPLC2_R,right,acetylcholine,Traced
28741,LPLC2,LPLC2_R,right,acetylcholine,Traced
28871,LPLC2,LPLC2_R,right,acetylcholine,Traced
29014,LPLC2,LPLC2_R,right,acetylcholine,Traced
29183,LPLC2,LPLC2_R,right,acetylcholine,Traced
29216,LPLC2,LPLC2_R,right,acetylcholine,Traced
29287,LPLC2,LPLC2_R,right,acetylcholine,Traced
29391,LPLC2,LPLC2_R,right,acetylcholine,Traced
29598,LPLC2,LPLC2_R,right,acetylcholine,Traced
29873,LPLC2,LPLC2_R,right,acetylcholine,Traced
29986,LPLC2,LPLC2_R,right,acetylcholine,Traced
30041,LPLC2,LPLC2_R,right,acetylcholine,Traced
30207,LPLC2,LPLC2_R,right,acetylcholine,Traced
30938,LPLC2,LPLC2_R,right,acetylcholine,Traced
31257,LPLC2,LPLC2_R,right,acetylcholine,Traced
31964,LPLC2,LPLC2_R,right,acetylcholine,Traced
31988,LPLC2,LPLC2_R,right,acetylcholine,Traced
32507,LPLC2,LPLC2_R,right,acetylcholine,Traced
33185,LPLC2,LPLC2_R,right,acetylcholine,Traced
33396,LPLC2,LPLC2_R,right,acetylcholine,Traced
33439,LPLC2,LPLC2_R,right,acetylcholine,Traced
33694,LPLC2,LPLC2_R,right,acetylcholine,Traced
34110,LPLC2,LPLC2_R,right,acetylcholine,Traced
34372,LPLC2,LPLC2_R,right,acetylcholine,Traced
34681,LPLC2,LPLC2_R,right,acetylcholine,Traced
35632,LPLC2,LPLC2_R,right,acetylcholine,Traced
35680,LPLC2,LPLC2_R,right,acetylcholine,Traced
35838,LPLC2,LPLC2_R,right,acetylcholine,Traced
35889,LPLC2,LPLC2_R,right,acetylcholine,Traced
37431,LPLC2,LPLC2_R,right,acetylcholine,Traced
37613,LPLC2,LPLC2_R,right,acetylcholine,Traced
37925,LPLC2,LPLC2_R,right,acetylcholine,Traced
38542,LPLC2,LPLC2_R,right,acetylcholine,Traced
39620,LPLC2,LPLC2_R,right,acetylcholine,Traced
50287,LPLC2,LPLC2_R,right,acetylcholine,Traced
55627,LPLC2,LPLC2_R,right,acetylcholine,Traced
