body_pre,body_post,weight,source_type,descending_type
14444,10732,95,IB095,DNpe056
10421,10228,95,AVLP079,DNp06
17939,531898,94,PVLP046,DNp04
19624,10234,94,VES023,DNp35
22847,11137,94,LC4,DNp04
15225,10228,94,WED072,DNp06
20542,11137,94,LC4,DNp04
524501,10417,94,AVLP176_b,DNp103
18696,10228,94,AN05B023c,DNp06
10988,10601,94,AVLP712m,DNpe025
532569,10417,94,CL038,DNp103
11590,11573,94,MeVP23,DNpe021
16103,10989,93,CL340,DNp03
523672,11159,93,AVLP078,DNp71
521682,10417,93,AVLP170,DNp103
27620,10001,93,CB1638,DNp01
13114,10117,93,SAD064,DNp02
30087,531898,93,LC4,DNp04
32597,531898,92,LC4,DNp04
14017,10584,92,CL022_c,DNp06
68354,10283,92,CL266_a3,DNp103
22292,10010,92,AVLP094,DNp01
18432,531898,92,LC4,DNp04
524375,10417,92,CB1108,DNp103
13474,10417,92,CL150,DNp103
17926,11137,92,LC4,DNp04
25724,10234,92,CL121_b,DNp35
11656,10417,92,AVLP369,DNp103
33033,10449,92,SIP119m,DNpe025
523436,10584,92,WED072,DNp06
527704,10283,92,CL038,DNp103
10671,11334,91,AN02A002,DNpe045
83492,10228,91,AVLP177_a,DNp06
10074,10259,91,PVLP010,DNp11
29469,531898,91,LC4,DNp04
515643,10283,91,CL150,DNp103
521693,10361,91,PVLP122,DNg40
55013,10223,91,IB095,DNpe056
14257,10558,91,AVLP261_b,DNp35
527408,11137,90,LC4,DNp04
25348,10417,90,CB2330,DNp103
16202,10923,90,AN17A012,DNg40
11440,11020,90,PLP060,DNp05
512121,10197,90,CB1280,DNp02
532839,10449,90,CL140,DNpe025
11677,10361,90,PVLP151,DNg40
524789,10228,90,CL022_c,DNp06
10780,10091,90,AVLP396,DNpe042
87956,10283,90,CB3019,DNp103
11507,10234,90,PLP211,DNp35
10010,10106,90,DNp01,DNp11
33137,531898,90,LC4,DNp04
31440,10584,90,AVLP442,DNp06
17637,12628,90,AN08B027,DNpe042
12980,10228,90,CB2458,DNp06
17144,12628,90,CL038,DNpe042
23112,10558,89,PVLP074,DNp35
18478,531898,89,LC4,DNp04
10224,10234,89,AVLP001,DNp35
17416,10584,89,AN05B102c,DNp06
16199,10584,89,AVLP170,DNp06
18127,11137,89,LC4,DNp04
25584,11137,89,LC4,DNp04
28160,11573,89,CL001,DNpe021
11378,11020,89,CB1280,DNp05
18566,11020,89,PLP214,DNp05
521761,10283,89,CL022_a,DNp103
10797,10001,89,AN12B001,DNp01
512121,10001,89,CB1280,DNp01
83492,10417,89,AVLP177_a,DNp103
522857,10584,89,AVLP201,DNp06
33474,10283,89,SAD049,DNp103
38120,10558,88,AVLP050,DNp35
12614,10010,88,SAD092,DNp01
13600,10010,88,CB2664,DNp01
10246,10117,88,SAD096,DNp02
26112,11137,88,LC4,DNp04
10404,10584,88,AVLP082,DNp06
513636,10091,88,GNG495,DNpe042
14112,10732,88,AVLP370_a,DNpe056
14319,10584,88,M_l2PN3t18,DNp06
10128,10010,88,SAD103,DNp01
150489,10584,88,AN09B016,DNp06
38423,10259,88,CB2940,DNp11
