body_pre,body_post,weight,source_type,target_type
30041,10943,31,LPLC2,AVLP531
14102,25392,31,LPLC2,PVLP111
20799,12275,31,LPLC2,PVLP151
21862,22212,31,LPLC2,PVLP111
21862,16554,31,LPLC2,PVLP071
30893,10228,31,LPLC2,DNp06
23247,10010,31,LPLC2,DNp01
23247,10417,31,LPLC2,DNp103
35632,10283,31,LPLC2,DNp103
18672,22212,31,LPLC2,PVLP111
33694,13122,31,LPLC2,PVLP130
23878,12870,31,LPLC2,AVLP500
517078,524364,31,LPLC2,PVLP111
26730,12951,31,LPLC2,PVLP069
26730,11677,31,LPLC2,PVLP151
17880,10417,31,LPLC2,DNp103
21562,10283,31,LPLC2,DNp103
29014,10001,31,LPLC2,DNp01
20182,12870,31,LPLC2,AVLP500
30207,10943,31,LPLC2,AVLP531
33185,10923,31,LPLC2,DNg40
19249,10867,31,LPLC2,PVLP076
25511,10943,31,LPLC2,AVLP531
20103,22212,31,LPLC2,PVLP111
11498,531898,31,LPLC2,DNp04
31964,22212,31,LPLC2,PVLP111
20047,10943,31,LPLC2,AVLP531
20047,22212,31,LPLC2,PVLP111
37431,22212,31,LPLC2,PVLP111
19830,10417,31,LPLC2,DNp103
19589,11677,31,LPLC2,PVLP151
19830,10828,31,LPLC2,AVLP531
19911,10417,31,LPLC2,DNp103
19589,22212,31,LPLC2,PVLP111
31988,10283,31,LPLC2,DNp103
19830,524364,31,LPLC2,PVLP111
19608,23147,30,LPLC2,PVLP111
19608,23756,30,LPLC2,PVLP111
21862,10001,30,LPLC2,DNp01
30893,12427,30,LPLC2,PVLP069
19911,10828,30,LPLC2,AVLP531
