body_post,LC4,LPLC2,target_type,receives_from_both
19468,7.0,10.0,PVLP025,True
54378,7.0,8.0,MeLo13,True
10387,7.0,7.0,LT83,True
12501,7.0,7.0,PLP018,True
10439,7.0,2.0,LT1a,True
10663,7.0,2.0,LT39,True
14833,7.0,2.0,LT74,True
17534,7.0,2.0,Li11b,True
26006,7.0,2.0,LLPC1,True
456610579,7.0,2.0,UNKNOWN,True
617003547,7.0,2.0,UNKNOWN,True
632847486,7.0,2.0,UNKNOWN,True
870954545,7.0,2.0,UNKNOWN,True
10309,7.0,1.0,LT1b,True
11254,7.0,1.0,LT41,True
18395,7.0,1.0,MeLo14,True
18819,7.0,1.0,MeLo14,True
517047,7.0,1.0,Li25,True
190394583,7.0,1.0,UNKNOWN,True
624956754,7.0,1.0,UNKNOWN,True
718807687,7.0,1.0,UNKNOWN,True
768556881,7.0,1.0,UNKNOWN,True
20471,6.0,264.0,LPLC2,True
24800,6.0,238.0,LPLC2,True
22677,6.0,230.0,LPLC2,True
19658,6.0,200.0,PVLP074,True
13274,6.0,22.0,SAD073,True
38890,6.0,20.0,LoVP93,True
16137,6.0,10.0,LT73,True
111308,6.0,10.0,MeLo13,True
10372,6.0,9.0,LT1d,True
13612,6.0,9.0,Li32,True
15959,6.0,8.0,SAD014,True
15666,6.0,7.0,Li17,True
529811,6.0,7.0,AVLP476,True
10445,6.0,6.0,LT11,True
96296,6.0,5.0,LC39a,True
532255,6.0,5.0,MeVC23,True
10476,6.0,4.0,LT11,True
512199,6.0,4.0,Li17,True
10450,6.0,3.0,LT62,True
10910,6.0,3.0,PPM1203,True
15182,6.0,3.0,Li17,True
20190,6.0,3.0,LoVP50,True
13776,6.0,2.0,MeLo8,True
14612,6.0,2.0,CB2676,True
15253,6.0,2.0,LPLC1,True
17595,6.0,2.0,MeLo14,True
18376,6.0,2.0,LT73,True
19365,6.0,2.0,Li17,True
519900,6.0,2.0,LoVC15,True
46608,6.0,1.0,LC22,True
585506659,6.0,1.0,UNKNOWN,True
728812575,6.0,1.0,UNKNOWN,True
12870,5.0,1642.0,AVLP500,True
147605,5.0,988.0,,True
523626,5.0,891.0,PVLP071,True
10732,5.0,745.0,DNpe056,True
555383,5.0,580.0,PVLP076,True
25253,5.0,282.0,LPLC2,True
29014,5.0,252.0,LPLC2,True
521115,5.0,229.0,LPLC2,True
27566,5.0,228.0,LPLC2,True
129687,5.0,217.0,LPLC2,True
25316,5.0,195.0,LPLC2,True
11334,5.0,190.0,DNpe045,True
25636,5.0,170.0,LPLC2,True
30895,5.0,166.0,LPLC2,True
19050,5.0,48.0,LPLC4,True
14850,5.0,47.0,WED061,True
22754,5.0,30.0,LoVP26,True
519858999,5.0,22.0,UNKNOWN,True
536048,5.0,18.0,DNp27,True
63557,5.0,15.0,LoVP93,True
146532,5.0,11.0,WED029,True
15281,5.0,10.0,Li17,True
25377,5.0,9.0,CB1932,True
90782,5.0,9.0,AVLP205,True
32170,5.0,8.0,LC31a,True
593553325,5.0,8.0,UNKNOWN,True
11832,5.0,7.0,CL367,True
22699,5.0,7.0,LC14b,True
533468,5.0,7.0,LC35a,True
17010,5.0,5.0,TmY19b,True
10364,5.0,4.0,PVLP061,True
139911574,5.0,4.0,UNKNOWN,True
218168738,5.0,4.0,UNKNOWN,True
11838,5.0,3.0,Li17,True
15898,5.0,3.0,PS182,True
16859,5.0,3.0,LT77,True
18333,5.0,3.0,AVLP203_b,True
