body_pre,body_post,weight,source_type,target_type
17987,13794,43,LC4,PVLP021
21287,10146,43,LC4,AMMC-A1
21287,10001,43,LC4,DNp01
23202,10197,43,LC4,DNp02
20588,10001,43,LC4,DNp01
17653,16475,43,LC4,PVLP024
17478,10752,43,LC4,DNp03
518983,10197,43,LC4,DNp02
20399,10146,43,LC4,AMMC-A1
20859,10020,43,LC4,AMMC-A1
81112,10257,43,LC4,AMMC-A1
18189,532199,43,LC4,AMMC-A1
17608,10020,43,LC4,AMMC-A1
23392,10117,43,LC4,DNp02
24523,10010,42,LC4,DNp01
23792,19454,42,LC4,PVLP024
30803,16459,42,LC4,PVLP024
515900,10074,42,LC4,PVLP010
515900,10752,42,LC4,DNp03
17266,12215,42,LC4,PVLP122
17266,16459,42,LC4,PVLP024
20976,16475,42,LC4,PVLP024
520449,10010,42,LC4,DNp01
81112,10017,42,LC4,AMMC-A1
20917,10001,42,LC4,DNp01
17668,10146,42,LC4,AMMC-A1
12349,527690,42,LC4,PVLP022
19260,10277,42,LC4,AMMC-A1
17270,10017,42,LC4,AMMC-A1
22034,10001,42,LC4,DNp01
20859,10074,42,LC4,PVLP010
20859,10017,42,LC4,AMMC-A1
16128,10146,42,LC4,AMMC-A1
16138,16459,42,LC4,PVLP024
16628,532199,42,LC4,AMMC-A1
20808,10001,42,LC4,DNp01
31301,10197,42,LC4,DNp02
28945,10146,42,LC4,AMMC-A1
28945,10001,42,LC4,DNp01
22975,16459,41,LC4,PVLP024
530029,10752,41,LC4,DNp03
20673,10146,41,LC4,AMMC-A1
19260,10146,41,LC4,AMMC-A1
17364,532199,41,LC4,AMMC-A1
29417,10010,41,LC4,DNp01
14888,10257,41,LC4,AMMC-A1
16128,10277,41,LC4,AMMC-A1
535341,10197,41,LC4,DNp02
21313,10001,41,LC4,DNp01
12824,10020,41,LC4,AMMC-A1
12824,10074,41,LC4,PVLP010
29563,10146,41,LC4,AMMC-A1
23098,10146,41,LC4,AMMC-A1
524899,16475,41,LC4,PVLP024
511914,16475,41,LC4,PVLP024
34845,16475,41,LC4,PVLP024
532254,10020,41,LC4,AMMC-A1
22922,10197,41,LC4,DNp02
29469,10259,41,LC4,DNp11
514508,10010,41,LC4,DNp01
16628,12215,41,LC4,PVLP122
20399,10106,41,LC4,DNp11
27624,10020,40,LC4,AMMC-A1
17668,19454,40,LC4,PVLP024
16809,10010,40,LC4,DNp01
19550,19454,40,LC4,PVLP024
16128,16459,40,LC4,PVLP024
17653,10017,40,LC4,AMMC-A1
21151,10117,40,LC4,DNp02
21151,10001,40,LC4,DNp01
35616,16475,40,LC4,PVLP024
29563,10001,40,LC4,DNp01
514508,10017,40,LC4,AMMC-A1
12824,16475,40,LC4,PVLP024
520449,10020,40,LC4,AMMC-A1
15018,10257,40,LC4,AMMC-A1
15018,10010,40,LC4,DNp01
23929,10146,40,LC4,AMMC-A1
30803,19454,39,LC4,PVLP024
518016,10010,39,LC4,DNp01
518016,10017,39,LC4,AMMC-A1
17340,10020,39,LC4,AMMC-A1
27750,10259,39,LC4,DNp11
516909,10197,39,LC4,DNp02
33137,10010,39,LC4,DNp01
22328,10146,39,LC4,AMMC-A1
22328,19454,39,LC4,PVLP024
20859,16475,39,LC4,PVLP024
12032,10257,39,LC4,AMMC-A1
18127,10146,39,LC4,AMMC-A1
20588,13122,39,LC4,PVLP130
22966,534040,39,LC4,PVLP015
16128,12215,39,LC4,PVLP122
16128,13794,39,LC4,PVLP021
17860,10277,39,LC4,AMMC-A1
23098,10117,39,LC4,DNp02
19634,532199,39,LC4,AMMC-A1
107513,10010,39,LC4,DNp01
14888,10074,39,LC4,PVLP010
19420,19454,39,LC4,PVLP024
19634,10146,39,LC4,AMMC-A1
17987,10001,39,LC4,DNp01
20282,16459,39,LC4,PVLP024
20673,16459,38,LC4,PVLP024
20808,19454,38,LC4,PVLP024
19954,10001,38,LC4,DNp01
16809,16475,38,LC4,PVLP024
12349,11927,38,LC4,PVLP122
17364,11020,38,LC4,DNp05
30480,10146,38,LC4,AMMC-A1
20967,10010,38,LC4,DNp01
