body_pre,body_post,weight,source_type,descending_type
34051,10010,17,LPLC2,DNp01
34110,10001,16,LPLC2,DNp01
29873,10001,16,LPLC2,DNp01
55627,10001,16,LPLC2,DNp01
517078,10010,15,LPLC2,DNp01
25136,10010,15,LPLC2,DNp01
21899,10001,15,LPLC2,DNp01
17880,10010,15,LPLC2,DNp01
29598,10001,14,LPLC2,DNp01
22218,10001,14,LPLC2,DNp01
20334,10001,14,LPLC2,DNp01
21703,10001,14,LPLC2,DNp01
29183,10001,13,LPLC2,DNp01
26416,10010,13,LPLC2,DNp01
21769,10001,12,LPLC2,DNp01
17059,10010,12,LPLC2,DNp01
20749,10001,12,LPLC2,DNp01
30041,10001,12,LPLC2,DNp01
19830,10010,12,LPLC2,DNp01
33694,10001,11,LPLC2,DNp01
27023,10010,11,LPLC2,DNp01
35294,10010,11,LPLC2,DNp01
95241,10010,11,LPLC2,DNp01
32223,10010,10,LPLC2,DNp01
19911,10010,10,LPLC2,DNp01
24605,10010,10,LPLC2,DNp01
27566,10001,10,LPLC2,DNp01
17544,10010,9,LPLC2,DNp01
31105,10010,9,LPLC2,DNp01
34372,10001,9,LPLC2,DNp01
22677,10001,9,LPLC2,DNp01
37925,10001,9,LPLC2,DNp01
21299,10010,8,LPLC2,DNp01
13132,10010,8,LPLC2,DNp01
20584,10001,8,LPLC2,DNp01
25267,10001,7,LPLC2,DNp01
111903,10010,6,LPLC2,DNp01
30893,10010,6,LPLC2,DNp01
25316,10001,6,LPLC2,DNp01
25286,10010,6,LPLC2,DNp01
13764,10010,6,LPLC2,DNp01
38542,10001,5,LPLC2,DNp01
37613,10001,5,LPLC2,DNp01
19842,10001,5,LPLC2,DNp01
18929,10001,5,LPLC2,DNp01
35632,10001,4,LPLC2,DNp01
35838,10001,4,LPLC2,DNp01
14030,10010,4,LPLC2,DNp01
21318,10001,4,LPLC2,DNp01
26730,10001,3,LPLC2,DNp01
30207,10001,3,LPLC2,DNp01
11498,10010,2,LPLC2,DNp01
19549,10001,1,LPLC2,DNp01
19249,10001,1,LPLC2,DNp01
16628,10117,72,LC4,DNp02
17926,10117,72,LC4,DNp02
17668,10117,70,LC4,DNp02
20967,10197,67,LC4,DNp02
17548,10117,63,LC4,DNp02
18127,10117,62,LC4,DNp02
17364,10117,62,LC4,DNp02
12824,10197,61,LC4,DNp02
20572,10197,59,LC4,DNp02
16128,10117,57,LC4,DNp02
21336,10117,57,LC4,DNp02
20673,10117,56,LC4,DNp02
17653,10197,55,LC4,DNp02
17478,10197,53,LC4,DNp02
524899,10197,53,LC4,DNp02
19260,10117,53,LC4,DNp02
515900,10197,52,LC4,DNp02
19420,10117,52,LC4,DNp02
17054,10117,52,LC4,DNp02
18478,10197,51,LC4,DNp02
18189,10117,50,LC4,DNp02
33137,10197,50,LC4,DNp02
21225,10117,49,LC4,DNp02
17270,10197,47,LC4,DNp02
17987,10117,45,LC4,DNp02
519931,10197,45,LC4,DNp02
12032,10197,44,LC4,DNp02
520449,10197,44,LC4,DNp02
17860,10117,44,LC4,DNp02
20859,10197,44,LC4,DNp02
77614,10197,44,LC4,DNp02
533129,10197,44,LC4,DNp02
21165,10117,44,LC4,DNp02
518016,10197,44,LC4,DNp02
21721,10197,43,LC4,DNp02
518730,10197,43,LC4,DNp02
23202,10197,43,LC4,DNp02
518983,10197,43,LC4,DNp02
23392,10117,43,LC4,DNp02
31301,10197,42,LC4,DNp02
535341,10197,41,LC4,DNp02
22922,10197,41,LC4,DNp02
21151,10117,40,LC4,DNp02
516909,10197,39,LC4,DNp02
23098,10117,39,LC4,DNp02
16138,10117,38,LC4,DNp02
20917,10117,38,LC4,DNp02
27829,10197,37,LC4,DNp02
20542,10117,37,LC4,DNp02
25584,10117,37,LC4,DNp02
29417,10197,37,LC4,DNp02
18432,10197,36,LC4,DNp02
19794,10117,36,LC4,DNp02
20399,10117,35,LC4,DNp02
20282,10117,35,LC4,DNp02
21287,10117,35,LC4,DNp02
532254,10197,35,LC4,DNp02
35616,10197,34,LC4,DNp02
23226,10197,34,LC4,DNp02
17266,10117,34,LC4,DNp02
31308,10197,34,LC4,DNp02
22194,10117,34,LC4,DNp02
14888,10197,33,LC4,DNp02
526286,10197,33,LC4,DNp02
518544,10197,33,LC4,DNp02
35262,10197,32,LC4,DNp02
22772,10197,32,LC4,DNp02
19954,10117,32,LC4,DNp02
19550,10117,32,LC4,DNp02
511914,10197,31,LC4,DNp02
29563,10117,31,LC4,DNp02
512705,10197,31,LC4,DNp02
519650,10197,31,LC4,DNp02
19634,10117,31,LC4,DNp02
21313,10117,30,LC4,DNp02
20976,10197,30,LC4,DNp02
31429,10197,30,LC4,DNp02
20808,10117,29,LC4,DNp02
20016,10117,29,LC4,DNp02
24523,10197,28,LC4,DNp02
17340,10197,28,LC4,DNp02
81112,10197,28,LC4,DNp02
517752,10197,27,LC4,DNp02
22328,10117,26,LC4,DNp02
29469,10197,26,LC4,DNp02
29514,10197,26,LC4,DNp02
12349,10197,26,LC4,DNp02
16917,10197,25,LC4,DNp02
530029,10197,24,LC4,DNp02
22034,10117,24,LC4,DNp02
22847,10117,24,LC4,DNp02
28980,10197,23,LC4,DNp02
16809,10197,23,LC4,DNp02
20440,10197,22,LC4,DNp02
23792,10117,22,LC4,DNp02
514508,10197,22,LC4,DNp02
32597,10197,22,LC4,DNp02
19543,10117,21,LC4,DNp02
34845,10197,21,LC4,DNp02
21804,10117,20,LC4,DNp02
24338,10117,20,LC4,DNp02
22975,10117,19,LC4,DNp02
20588,10117,19,LC4,DNp02
27624,10197,18,LC4,DNp02
512366,10197,18,LC4,DNp02
111787,10197,17,LC4,DNp02
100485,10197,16,LC4,DNp02
28945,10117,15,LC4,DNp02
31262,10117,15,LC4,DNp02
27750,10197,14,LC4,DNp02
26112,10117,14,LC4,DNp02
515476,10197,11,LC4,DNp02
30087,10197,10,LC4,DNp02
518439,10197,10,LC4,DNp02
23929,10117,9,LC4,DNp02
22966,10117,8,LC4,DNp02
527408,10117,8,LC4,DNp02
