body_post,source_type,weight
10228,AVLP274_a,1
10228,AVLP235,1
10584,PVLP007,1
10228,WED188,1
10228,IN05B090,1
10228,CB3264,1
10228,AVLP108,1
10228,LT1b,1
10228,PVLP007,1
10228,AN07B062,1
10228,AN07B070,1
10228,AN08B009,1
10228,PVLP008_c,1
10228,AN08B012,1
10228,LT78,1
10584,WED015,1
10584,WED010,1
10228,PVLP025,1
10228,PVLP084,1
10228,LHAV2g1,1
10228,LHAV2b2_b,1
10584,TN1a_h,1
10584,SNpp30,1
10228,LC31b,1
10228,PVLP072,1
10228,LAL127,1
10584,SIP119m,1
10228,AN08B049,1
10228,PS182,1
10228,AN06B039,1
10228,AN06B004,1
10228,PS005_f,1
10584,aSP10B,1
10584,WEDPN1A,1
10584,WED208,1
10584,WED201,1
10228,MeVP53,1
10228,AMMC015,1
10228,OA-ASM2,1
10228,AMMC034_b,1
10228,MeVC25,1
10228,LoVP55,1
10228,PLP034,1
10228,PLP164,1
10584,WED119,1
10228,AN04B003,1
10228,PLP219,1
10228,PPM1201,1
10228,PPM1203,1
10228,LoVC16,1
10228,AN05B102d,1
10228,PVLP082,1
10584,SAD116,1
10228,AVLP104,1
10228,IN11A025,1
10228,IN21A026,1
10228,AN19B001,1
10228,AN19B017,1
10228,AN27X013,1
10228,AVL006_a,1
10228,IN19A117,1
10584,LT87,1
10228,AVLP005,1
10584,PVLP141,1
10228,SAD057,1
10228,PVLP093,1
10228,IN11A011,1
10584,PVLP125,1
10228,IN11A001,1
10228,IN10B030,1
10228,SAD108,1
10584,PVLP111,1
10228,SAD113,1
10228,SAD114,1
10228,AVLP098,1
10228,PVLP201m_a,1
10228,AN18B001,1
10228,IN21A028,1
10228,PVLP133,1
10228,JO-B3,1
10584,SAD112_a,1
10228,PVLP097,1
10228,AN08B081,1
10584,SAD109,1
10228,JO-A1,1
10584,SAD107,1
10228,INXXX134,1
10584,SAD101,1
10228,INXXX129,1
10228,IN27X014,1
10228,IN21A087,1
10228,AN08B100,1
10228,"IN21A045,IN21A046",1
10228,AN09B023,1
10228,AN09B027,1
10584,SAD071,1
10228,AN09B029,1
10228,AN12B001,1
10584,LoVC18,1
10584,LAL136_a,1
10584,LT78,1
10584,DNg104,1
10584,DNg01_c,1
10584,DNde006,1
10228,DNb09,1
10584,DNa08,1
10228,AVLP722m,1
10228,CL361,1
