source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LPLC2,SAD073,DNg40,1,2,44,285
LC4,LC23,DNp103,10,20,214,284
LC4,PS112,DNp18,1,2,4,284
LC4,LT51,DNa02,12,12,21,283
LC4,WED106,DNge113,3,12,32,283
LC4,LPLC4,pIP1,28,28,49,281
LPLC2,LoVP85,DNp05,2,4,62,281
LC4,LoVP85,DNp05,2,4,1212,281
LC4,AN07B004,DNae009,2,4,12,277
LPLC2,PVLP114,DNb08,1,3,138,277
LPLC2,PVLP114,DNg100,1,2,92,276
LPLC2,LT51,DNa02,12,12,172,276
LPLC2,PLP034,DNp57,1,1,3,275
LPLC2,PVLP123,DNp02,9,9,457,275
LPLC2,UNKNOWN,DNp01,195,195,537,274
LC4,LC22,DNbe001,21,29,51,274
LC4,AN01A055,pIP1,1,2,2,273
LC4,AN07B004,DNg02_g,2,8,24,273
LC4,CB4103,DNge107,6,10,409,272
LC4,LT51,DNa03,10,10,18,271
LPLC2,CL038,DNp01,2,2,5,270
LPLC2,,DNp55,11,12,688,269
LC4,LT51,DNge103,5,5,9,269
LC4,WED046,DNp06,2,2,13,268
LC4,SAD106,DNp55,2,4,70,267
LC4,PVLP137,DNge035,2,4,1710,267
LPLC2,LLPC1,DNa02,48,48,86,267
LPLC2,LPLC4,DNpe021,59,59,2131,267
LPLC2,PVLP137,DNge035,2,4,648,267
LC4,LT51,DNb08,5,9,12,266
LPLC2,AVLP711m,DNp36,5,10,920,266
LPLC2,VSm,DNp22,4,4,19,266
LPLC2,CL203,DNg100,1,2,2,266
LPLC2,CL367,DNp01,1,2,14,265
LC4,LC22,DNp05,24,24,37,265
LPLC2,HSN,DNp15,2,2,26,264
LC4,LC23,DNg82,10,30,327,263
LPLC2,CL286,DNp103,2,4,50,263
LC4,WED125,DNb09,3,3,867,261
LPLC2,AVLP711m,DNp13,5,10,920,261
LC4,PVLP076,DNp71,2,2,9,261
LPLC2,LPT60,DNg52,2,8,84,261
LC4,LPT60,DNg52,2,8,2604,261
LPLC2,PVLP076,DNp71,2,2,1338,261
LC4,AN01A055,DNge054,1,2,2,261
LPLC2,AVLP076,DNp103,2,2,12,260
LC4,,DNp69,13,21,10824,260
LC4,PVLP019,DNpe056,2,2,472,260
LC4,LT87,DNp55,2,2,26,259
LPLC2,AVLP396,DNp01,2,2,922,259
LPLC2,PLP211,DNp35,2,4,310,259
LC4,PLP211,DNp35,2,4,34,259
LPLC2,LT87,DNp55,2,2,6,259
LC4,AVLP202,DNp01,2,4,90,258
LC4,LoVP26,DNp57,7,14,48,258
LC4,LT51,DNae007,12,12,21,257
LC4,LoVP50,DNp31,6,6,33,256
LC4,LC36,DNpe055,5,10,16,256
LC4,LC10a,DNa10,29,29,39,256
LPLC2,PVLP122,DNpe024,6,12,1944,256
LC4,PVLP122,DNpe024,6,12,9068,256
LC4,LPLC1,DNa07,57,57,109,256
LC4,CB1932,DNp35,10,18,941,255
LPLC2,VS,DNge043,6,11,91,255
LC4,PLP029,DNa15,2,2,562,255
LPLC2,CL213,DNg86,2,4,90,253
LPLC2,LAL016,DNa13,1,2,154,253
LC4,LC23,DNp05,8,14,187,252
LPLC2,PVLP034,DNp06,9,16,133,252
LC4,PS306,DNa02,2,4,90,252
LC4,LoVP18,DNae009,10,18,59,251
LPLC2,PVLP123,DNp35,9,12,732,251
LC4,PS182,DNp31,2,4,12,251
LC4,LoVP50,DNp57,6,6,33,251
LPLC2,LPT22,DNae002,2,2,50,249
LPLC2,CL053,DNp63,2,4,88,249
LC4,PLP029,DNp18,2,2,562,246
LC4,SAD055,DNp05,2,4,198,246
LC4,AN07B004,DNg06,2,23,69,246
LPLC2,AVLP452,DNp01,3,3,6,245
LPLC2,LPT31,DNge094,6,26,48,243
LPLC2,AVLP078,DNp23,2,2,170,243
LPLC2,LoVP26,DNp08,11,21,331,243
LPLC2,LPLC4,DNa04,40,40,1697,243
LC4,SAD053,DNp01,2,4,34,243
LPLC2,PLP034,DNbe001,1,2,6,242
LPLC2,LLPC3,DNp07,57,57,90,241
LC4,PS180,DNp57,1,2,4,240
LPLC2,CB1688,DNp55,2,4,372,239
LC4,LC31b,DNpe056,8,8,513,239
LC4,LoVP53,DNb05,2,2,37,239
LPLC2,LoVP53,DNb05,2,2,87,239
LPLC2,LC31b,DNpe056,8,8,1371,239
LC4,LT61b,DNp06,2,4,614,238
LPLC2,LT61b,DNp06,2,4,48,238
LC4,CB4176,DNp18,7,7,24,238
LPLC2,LPT49,DNa10,2,4,12,237
LC4,SAD053,DNg108,2,4,34,237
LPLC2,AVLP531,DNp101,2,2,4635,237
LC4,AN07B004,DNp26,2,4,12,236
LC4,GNG300,DNg84,2,4,288,236
LPLC2,GNG300,DNg84,2,4,1266,236
LC4,PLP300m,DNa01,3,3,19,235
LPLC2,PLP219,DNae004,4,4,530,234
LC4,LLPC1,DNae002,26,26,34,234
LPLC2,CB0431,DNa02,1,1,16,234
LPLC2,,DNp69,17,25,4969,234
LPLC2,AVLP078,DNp71,2,2,170,234
LC4,PLP219,DNae004,4,4,1075,234
LPLC2,LC31a,DNp69,28,28,124,233
LC4,LT51,DNpe023,5,8,11,233
LC4,CB3879,DNp70,2,4,24,232
LPLC2,PVLP062,DNp06,2,4,14,231
LC4,PVLP062,DNp06,2,4,22,231
LC4,LoVC11,DNpe016,1,2,2,231
LPLC2,PVLP074,DNp35,4,5,901,230
LPLC2,LC6,DNp103,34,34,45,230
LPLC2,LC22,DNbe001,23,32,60,229
LPLC2,PVLP120,DNp35,2,4,2208,229
LPLC2,vCal2,DNp31,1,2,4,229
LC4,PLP093,DNp05,2,3,321,229
LC4,PVLP120,DNp35,2,4,532,229
LPLC2,VST2,DNp17,4,24,48,229
LPLC2,MBON33,DNg104,1,2,2,229
LC4,LLPC2,DNb05,20,20,21,229
LC4,,DNp06,18,19,7363,228
LC4,UNKNOWN,DNp01,151,151,483,228
LC4,SAD023,DNp01,6,6,556,227
LPLC2,CB1852,DNp55,5,7,1398,227
LPLC2,PVLP137,DNge037,2,2,324,226
LPLC2,CL367,DNpe042,1,2,14,226
LPLC2,PVLP137,DNa01,2,3,460,226
LC4,PVLP137,DNa01,2,3,1420,226
LC4,CB3376,DNb09,3,3,9,226
LC4,PVLP137,DNge037,2,2,855,226
LC4,PLP029,DNa02,2,2,562,226
LPLC2,LPT28,DNpe008,2,14,70,225
LPLC2,CL053,DNp18,2,4,88,223
LC4,,DNa04,14,17,7543,223
LC4,CB4101,DNge040,6,6,52,223
LC4,LC36,DNp31,5,10,16,222
LPLC2,CL131,DNbe001,1,2,2,222
LC4,LC31a,DNp69,27,27,60,222
LC4,CB4102,DNa04,7,13,713,222
LPLC2,LC23,DNp05,6,11,34,222
LC4,LC18,DNpe052,52,52,68,222
LPLC2,LT51,MDN,10,19,317,221
LC4,LPLC4,DNge054,34,34,53,220
