bodyId_pre,pre_type,pre_side,pre_nt,bodyId_post,post_type,post_side,weight,weight_normalized,edge_class
24187,LPLC2,right,acetylcholine,10001,DNp01,right,48,0.27906976744186046,visual_to_readout
25854,LPLC2,left,acetylcholine,10010,DNp01,left,48,0.27906976744186046,visual_to_readout
17926,LC4,right,acetylcholine,10001,DNp01,right,48,0.27906976744186046,visual_to_readout
518731,LPLC2,left,acetylcholine,10010,DNp01,left,48,0.27906976744186046,visual_to_readout
21804,LC4,right,acetylcholine,10001,DNp01,right,48,0.27906976744186046,visual_to_readout
17364,LC4,right,acetylcholine,10001,DNp01,right,48,0.27906976744186046,visual_to_readout
17544,LPLC2,left,acetylcholine,10228,DNp06,left,47,0.27325581395348836,visual_to_readout
18672,LPLC2,right,acetylcholine,11137,DNp04,right,47,0.27325581395348836,visual_to_readout
516909,LC4,left,acetylcholine,10010,DNp01,left,47,0.27325581395348836,visual_to_readout
527408,LC4,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
518544,LC4,left,acetylcholine,10010,DNp01,left,47,0.27325581395348836,visual_to_readout
23919,LPLC2,left,acetylcholine,10010,DNp01,left,47,0.27325581395348836,visual_to_readout
519931,LC4,left,acetylcholine,531898,DNp04,left,47,0.27325581395348836,visual_to_readout
22328,LC4,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
20542,LC4,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
20047,LPLC2,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
21562,LPLC2,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
17266,LC4,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
24401,LPLC2,right,acetylcholine,10001,DNp01,right,47,0.27325581395348836,visual_to_readout
23878,LPLC2,right,acetylcholine,10001,DNp01,right,46,0.26744186046511625,visual_to_readout
520764,LPLC2,left,acetylcholine,10010,DNp01,left,46,0.26744186046511625,visual_to_readout
518983,LC4,left,acetylcholine,10010,DNp01,left,46,0.26744186046511625,visual_to_readout
17608,LC4,left,acetylcholine,10010,DNp01,left,46,0.26744186046511625,visual_to_readout
519650,LC4,left,acetylcholine,10010,DNp01,left,46,0.26744186046511625,visual_to_readout
20016,LC4,right,acetylcholine,10001,DNp01,right,46,0.26744186046511625,visual_to_readout
18189,LC4,right,acetylcholine,10001,DNp01,right,46,0.26744186046511625,visual_to_readout
20584,LPLC2,right,acetylcholine,11137,DNp04,right,46,0.26744186046511625,visual_to_readout
20799,LPLC2,left,acetylcholine,10010,DNp01,left,46,0.26744186046511625,visual_to_readout
30480,LC4,right,acetylcholine,10001,DNp01,right,45,0.2616279069767442,visual_to_readout
20162,LPLC2,right,acetylcholine,10001,DNp01,right,45,0.2616279069767442,visual_to_readout
515971,LPLC2,left,acetylcholine,10010,DNp01,left,45,0.2616279069767442,visual_to_readout
19420,LC4,right,acetylcholine,10001,DNp01,right,45,0.2616279069767442,visual_to_readout
31429,LC4,left,acetylcholine,10010,DNp01,left,45,0.2616279069767442,visual_to_readout
20440,LC4,left,acetylcholine,10010,DNp01,left,45,0.2616279069767442,visual_to_readout
31964,LPLC2,right,acetylcholine,10001,DNp01,right,44,0.2558139534883721,visual_to_readout
17775,LPLC2,left,acetylcholine,10010,DNp01,left,44,0.2558139534883721,visual_to_readout
20673,LC4,right,acetylcholine,10001,DNp01,right,44,0.2558139534883721,visual_to_readout
12384,LPLC2,left,acetylcholine,531898,DNp04,left,44,0.2558139534883721,visual_to_readout
515971,LPLC2,left,acetylcholine,531898,DNp04,left,44,0.2558139534883721,visual_to_readout
517819,LPLC2,left,acetylcholine,10010,DNp01,left,44,0.2558139534883721,visual_to_readout
19794,LC4,right,acetylcholine,10001,DNp01,right,44,0.2558139534883721,visual_to_readout
21769,LPLC2,right,acetylcholine,11137,DNp04,right,44,0.2558139534883721,visual_to_readout
23665,LPLC2,left,acetylcholine,10010,DNp01,left,43,0.25,visual_to_readout
20471,LPLC2,right,acetylcholine,10001,DNp01,right,43,0.25,visual_to_readout
28044,LPLC2,right,acetylcholine,10001,DNp01,right,43,0.25,visual_to_readout
31308,LC4,left,acetylcholine,10010,DNp01,left,43,0.25,visual_to_readout
517079,LPLC2,left,acetylcholine,10010,DNp01,left,43,0.25,visual_to_readout
21287,LC4,right,acetylcholine,10001,DNp01,right,43,0.25,visual_to_readout
100103,LPLC2,left,acetylcholine,531898,DNp04,left,43,0.25,visual_to_readout
13726,LPLC2,left,acetylcholine,10010,DNp01,left,43,0.25,visual_to_readout
25524,LPLC2,left,acetylcholine,10010,DNp01,left,43,0.25,visual_to_readout
20588,LC4,right,acetylcholine,10001,DNp01,right,43,0.25,visual_to_readout
24523,LC4,left,acetylcholine,10010,DNp01,left,42,0.2441860465116279,visual_to_readout
20917,LC4,right,acetylcholine,10001,DNp01,right,42,0.2441860465116279,visual_to_readout
520449,LC4,left,acetylcholine,10010,DNp01,left,42,0.2441860465116279,visual_to_readout
17775,LPLC2,left,acetylcholine,531898,DNp04,left,42,0.2441860465116279,visual_to_readout
22253,LPLC2,left,acetylcholine,531898,DNp04,left,42,0.2441860465116279,visual_to_readout
20808,LC4,right,acetylcholine,10001,DNp01,right,42,0.2441860465116279,visual_to_readout
22034,LC4,right,acetylcholine,10001,DNp01,right,42,0.2441860465116279,visual_to_readout
28945,LC4,right,acetylcholine,10001,DNp01,right,42,0.2441860465116279,visual_to_readout
26147,LPLC2,right,acetylcholine,10001,DNp01,right,42,0.2441860465116279,visual_to_readout
