bodyId,type,side,population,role,predicted_nt,predicted_nt_confidence,consensus_nt,nt_evidence
21299,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9600793540395027,acetylcholine,predicted
21361,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9576838130925643,acetylcholine,predicted
22253,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9475025459661386,acetylcholine,predicted
22557,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9423776274910894,acetylcholine,predicted
23247,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9585126702785411,acetylcholine,predicted
23349,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9201390532994129,acetylcholine,predicted
23550,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9618776443664173,acetylcholine,predicted
23665,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9682830037875783,acetylcholine,predicted
23919,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9617293249738659,acetylcholine,predicted
24308,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9585068167866044,acetylcholine,predicted
24568,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9599839206531233,acetylcholine,predicted
24605,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9615981290535006,acetylcholine,predicted
24840,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9715259900544789,acetylcholine,predicted
25027,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9602486152054528,acetylcholine,predicted
25136,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9632587355091107,acetylcholine,predicted
25209,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9601783531008817,acetylcholine,predicted
25286,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9718148798997996,acetylcholine,predicted
25524,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9575816270609004,acetylcholine,predicted
25572,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9633756375241123,acetylcholine,predicted
25575,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.947882856391675,acetylcholine,predicted
25854,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.952972835676604,acetylcholine,predicted
26416,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9569553941520443,acetylcholine,predicted
26528,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9483296309001391,acetylcholine,predicted
27023,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9525317093794237,acetylcholine,predicted
27355,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.956293472356562,acetylcholine,predicted
27399,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9417113013903196,acetylcholine,predicted
27716,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.944515162669542,acetylcholine,predicted
27796,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9519621178308295,acetylcholine,predicted
28011,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9590233424419342,acetylcholine,predicted
28188,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9527599862886997,acetylcholine,predicted
29319,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9453502442220237,acetylcholine,predicted
29702,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9672635085034237,acetylcholine,predicted
29753,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9581426365251651,acetylcholine,predicted
29815,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9603634875626491,acetylcholine,predicted
29955,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9565816860245878,acetylcholine,predicted
30512,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.97076685828951,acetylcholine,predicted
30893,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9582618126066118,acetylcholine,predicted
