bodyId,type,role,somaSide,soma_x,soma_y,soma_z,retinotopic_column_available,coordinate_type
23590,LPLC2,visual_projection,R,25774.0,19110.0,35053.0,False,soma_centroid_nm
23665,LPLC2,visual_projection,L,70262.0,18396.0,34646.0,False,soma_centroid_nm
23792,LC4,visual_projection,R,32672.0,32947.0,32016.0,False,soma_centroid_nm
23878,LPLC2,visual_projection,R,26853.0,21483.0,31862.0,False,soma_centroid_nm
23919,LPLC2,visual_projection,L,65771.0,24959.0,36036.0,False,soma_centroid_nm
23929,LC4,visual_projection,R,31523.0,33279.0,29888.0,False,soma_centroid_nm
24118,LPLC2,visual_projection,R,27134.0,19867.0,35010.0,False,soma_centroid_nm
24187,LPLC2,visual_projection,R,24607.0,18794.0,34051.0,False,soma_centroid_nm
24268,LPLC2,visual_projection,R,26782.0,19748.0,34550.0,False,soma_centroid_nm
24308,LPLC2,visual_projection,L,67236.0,21322.0,35036.0,False,soma_centroid_nm
24338,LC4,visual_projection,R,32352.0,33056.0,31178.0,False,soma_centroid_nm
24401,LPLC2,visual_projection,R,26829.0,20239.0,33705.0,False,soma_centroid_nm
24523,LC4,visual_projection,L,66242.0,31980.0,28990.0,False,soma_centroid_nm
24568,LPLC2,visual_projection,L,69622.0,19376.0,32428.0,False,soma_centroid_nm
24605,LPLC2,visual_projection,L,66804.0,22558.0,34948.0,False,soma_centroid_nm
24800,LPLC2,visual_projection,R,28758.0,21268.0,35236.0,False,soma_centroid_nm
24840,LPLC2,visual_projection,L,69878.0,18187.0,35160.0,False,soma_centroid_nm
25027,LPLC2,visual_projection,L,71377.0,18100.0,33583.0,False,soma_centroid_nm
25136,LPLC2,visual_projection,L,71335.0,17828.0,34275.0,False,soma_centroid_nm
25209,LPLC2,visual_projection,L,72824.0,17104.0,33072.0,False,soma_centroid_nm
25253,LPLC2,visual_projection,R,27548.0,20001.0,35324.0,False,soma_centroid_nm
25267,LPLC2,visual_projection,R,24974.0,20199.0,32572.0,False,soma_centroid_nm
25286,LPLC2,visual_projection,L,67306.0,21146.0,35502.0,False,soma_centroid_nm
25316,LPLC2,visual_projection,R,24511.0,20036.0,31567.0,False,soma_centroid_nm
25497,LPLC2,visual_projection,R,27712.0,20796.0,33706.0,False,soma_centroid_nm
25511,LPLC2,visual_projection,R,27849.0,20089.0,35733.0,False,soma_centroid_nm
25524,LPLC2,visual_projection,L,68643.0,20102.0,32858.0,False,soma_centroid_nm
