bodyId,type,somaSide,instance,status,LC4_weight_w1,LPLC2_weight_w1,total_visual_weight_w1,total_incoming_weight,visual_share_w1,LC4_fraction_visual_w1,LPLC2_fraction_visual_w1,LC4_presynaptic_count_w1,LPLC2_presynaptic_count_w1,direct_visual_partners_w1,ipsilateral_visual_weight_w1,contralateral_visual_weight_w1,receives_both_w1,rank_total_visual_w1,rank_visual_share_w1,rank_LC4_w1,rank_LPLC2_w1,LC4_weight_w3,LPLC2_weight_w3,total_visual_weight_w3,visual_share_w3,LC4_fraction_visual_w3,LPLC2_fraction_visual_w3,LC4_presynaptic_count_w3,LPLC2_presynaptic_count_w3,direct_visual_partners_w3,ipsilateral_visual_weight_w3,contralateral_visual_weight_w3,receives_both_w3,rank_total_visual_w3,rank_visual_share_w3,rank_LC4_w3,rank_LPLC2_w3,LC4_weight_w10,LPLC2_weight_w10,total_visual_weight_w10,visual_share_w10,LC4_fraction_visual_w10,LPLC2_fraction_visual_w10,LC4_presynaptic_count_w10,LPLC2_presynaptic_count_w10,direct_visual_partners_w10,ipsilateral_visual_weight_w10,contralateral_visual_weight_w10,receives_both_w10,rank_total_visual_w10,rank_visual_share_w10,rank_LC4_w10,rank_LPLC2_w10,total_incoming_edges,predicted_nt,predicted_nt_confidence,consensus_nt
11088,DNp55,R,DNp55(WED180)_R,Traced,0,55,55,8097,0.006792639249104606,0.0,1.0,0,24,24,55,0,False,37,37,52,28,0,33,33,0.004075583549462764,0.0,1.0,0,8,8,33,0,False,37,36,33,27,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1046,acetylcholine,0.9517212406869396,acetylcholine
10580,DNp70,L,DNp70(CL305)_L,Traced,14,36,50,10985,0.004551661356395084,0.28,0.72,12,17,29,50,0,True,38,39,29,30,0,22,22,0.002002730996813837,0.0,1.0,0,6,6,22,0,False,38,41,33,30,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1914,acetylcholine,0.9345809268178248,acetylcholine
10296,DNge054,R,DNge054_R,Traced,4,33,37,9026,0.0040992687790826505,0.10810810810810811,0.8918918918918919,2,14,16,37,0,True,39,40,38,31,3,19,22,0.002437403057832927,0.13636363636363635,0.8636363636363636,1,5,6,22,0,True,38,39,30,31,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1830,gaba,0.8360325968376119,gaba
10377,DNge054,L,DNge054_L,Traced,4,30,34,10123,0.0033586881359280846,0.11764705882352941,0.8823529411764706,1,13,14,34,0,True,40,41,38,33,4,18,22,0.0021732687938358195,0.18181818181818182,0.8181818181818182,1,4,5,22,0,True,38,40,28,32,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1936,gaba,0.8057831587429196,gaba
10957,DNp69,R,DNp69(CL304)_R,Traced,16,17,33,11920,0.0027684563758389263,0.48484848484848486,0.5151515151515151,10,9,19,33,0,True,41,42,26,37,4,7,11,0.0009228187919463087,0.36363636363636365,0.6363636363636364,1,2,3,11,0,True,42,43,28,35,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1527,acetylcholine,0.9631105593636228,acetylcholine
11632,DNpe052,R,DNpe052(AVLP564)_R,Traced,0,31,31,4125,0.0075151515151515155,0.0,1.0,0,17,17,31,0,False,42,36,52,32,0,11,11,0.0026666666666666666,0.0,1.0,0,3,3,11,0,False,42,38,33,33,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1011,acetylcholine,0.9624135250199417,acetylcholine
536048,DNp27,L,DNp27_L,Traced,5,18,23,9151,0.002513386515134958,0.21739130434782608,0.782608695652174,4,16,20,16,7,True,43,44,34,35,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,3191,acetylcholine,0.7222038360320772,acetylcholine
10063,DNp27,R,DNp27_R,Traced,4,18,22,8155,0.00269773145309626,0.18181818181818182,0.8181818181818182,4,15,19,8,14,True,44,43,38,35,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,50,50,33,40,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,3019,acetylcholine,0.7339942789480343,acetylcholine
33037,DNp69,L,DNp69(CL304)_L,Traced,17,2,19,12393,0.001533123537480836,0.8947368421052632,0.10526315789473684,10,1,11,19,0,True,45,47,25,45,7,0,7,0.0005648349874929396,1.0,0.0,2,0,2,7,0,False,44,46,26,40,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1518,acetylcholine,0.9573411706490921,acetylcholine
10118,DNb05,L,DNb05_L,Traced,15,0,15,17938,0.0008362136247073252,1.0,0.0,7,0,7,15,0,False,46,53,27,50,5,0,5,0.00027873787490244177,1.0,0.0,1,0,1,5,0,False,45,49,27,40,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,2065,acetylcholine,0.9593688149511818,acetylcholine
