pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
23929,LC4,R,10001,DNp01,R,56,LC4,DNp01,True,True,True
35262,LC4,L,10010,DNp01,L,56,LC4,DNp01,True,True,True
20673,LC4,R,10117,DNp02,R,56,LC4,DNp02,True,True,True
12032,LC4,L,10259,DNp11,L,56,LC4,DNp11,True,True,True
28980,LC4,L,10259,DNp11,L,56,LC4,DNp11,True,True,True
21336,LC4,R,10001,DNp01,R,55,LC4,DNp01,True,True,True
14888,LC4,L,10010,DNp01,L,55,LC4,DNp01,True,True,True
19787,LPLC2,L,10010,DNp01,L,55,LPLC2,DNp01,True,True,True
20572,LC4,L,10010,DNp01,L,55,LC4,DNp01,True,True,True
81112,LC4,L,10010,DNp01,L,55,LC4,DNp01,True,True,True
517752,LC4,L,10010,DNp01,L,55,LC4,DNp01,True,True,True
23929,LC4,R,10106,DNp11,R,55,LC4,DNp11,True,True,True
17653,LC4,L,10197,DNp02,L,55,LC4,DNp02,True,True,True
514670,LPLC2,L,531898,DNp04,L,55,LPLC2,DNp04,True,True,True
517752,LC4,L,531898,DNp04,L,55,LC4,DNp04,True,True,True
22557,LPLC2,L,10010,DNp01,L,54,LPLC2,DNp01,True,True,True
23202,LC4,L,10010,DNp01,L,54,LC4,DNp01,True,True,True
511914,LC4,L,10010,DNp01,L,54,LC4,DNp01,True,True,True
515900,LC4,L,10010,DNp01,L,54,LC4,DNp01,True,True,True
23792,LC4,R,10106,DNp11,R,54,LC4,DNp11,True,True,True
23792,LC4,R,11137,DNp04,R,54,LC4,DNp04,True,True,True
16628,LC4,R,10001,DNp01,R,53,LC4,DNp01,True,True,True
20269,LPLC2,R,10001,DNp01,R,53,LPLC2,DNp01,True,True,True
26112,LC4,R,10001,DNp01,R,53,LC4,DNp01,True,True,True
512705,LC4,L,10010,DNp01,L,53,LC4,DNp01,True,True,True
29563,LC4,R,10106,DNp11,R,53,LC4,DNp11,True,True,True
19260,LC4,R,10117,DNp02,R,53,LC4,DNp02,True,True,True
17478,LC4,L,10197,DNp02,L,53,LC4,DNp02,True,True,True
524899,LC4,L,10197,DNp02,L,53,LC4,DNp02,True,True,True
515476,LC4,L,10259,DNp11,L,53,LC4,DNp11,True,True,True
