intermediate_bodyId,intermediate_type,intermediate_side,LC4_input_weight,LPLC2_input_weight,total_visual_input_weight,total_incoming_weight,visual_input_share,output_weight_to_candidate_dns,num_downstream_candidate_dns,path_score_product,min_path_capacity,predicted_nt,predicted_nt_confidence,survives_w3,survives_w10
15000,PVLP046,L,12,2,14,,,30,4,420,14,gaba,0.7530856874730054,True,True
532198,WED196,M,2,0,2,,,210,20,420,2,gaba,0.8142965092798753,False,False
23864,PVLP126_a,L,1,13,14,,,30,5,420,14,acetylcholine,0.9568555416601825,True,True
111004,PVLP034,L,0,5,5,,,84,17,420,5,gaba,0.8631314731298134,True,False
25031,LPLC1,L,5,1,6,,,70,7,420,6,acetylcholine,0.9398146621442183,True,False
10214,LPT50,L,0,52,52,,,8,2,416,8,gaba,0.8579184683783482,True,False
25870,LPLC1,R,3,2,5,,,83,6,415,5,acetylcholine,0.9546462259014593,True,False
10450,LT62,L,6,3,9,,,46,10,414,9,acetylcholine,0.9487300613360331,True,False
13086,LPLC1,L,0,6,6,,,69,5,414,6,acetylcholine,0.9161723648538879,True,False
19349,CB0154,L,2,0,2,,,206,11,412,2,gaba,0.8653237589339126,False,False
523436,WED072,R,1,0,1,3067.0,0.00032605151613955004,412,14,412,1,acetylcholine,0.9554761062607412,False,False
10735,LoVC18,L,0,5,5,,,82,25,410,5,dopamine,0.7129259789737908,True,False
10764,LT1c,R,9,3,12,,,34,5,408,12,acetylcholine,0.9612908832710451,True,True
60211,LC31a,R,2,2,4,,,102,8,408,4,acetylcholine,0.9689381252676287,True,False
37301,CB1717,R,9,2,11,,,37,7,407,11,acetylcholine,0.963532244171851,True,True
26365,LPLC1,R,0,5,5,,,81,6,405,5,acetylcholine,0.9633326662861015,True,False
74775,WED061,L,0,13,13,,,31,6,403,13,acetylcholine,0.9676743633191826,True,True
28033,LPLC1,R,0,6,6,,,67,6,402,6,acetylcholine,0.9394607795499891,True,False
28080,LPLC1,L,2,2,4,,,100,6,400,4,acetylcholine,0.957846374717384,True,False
103145,PLP106,L,20,0,20,,,20,8,400,20,acetylcholine,0.960662786611446,True,True
15279,AVLP152,R,18,0,18,,,22,10,396,18,acetylcholine,0.9658961434650423,True,True
17515,LC23,R,3,1,4,,,99,11,396,4,acetylcholine,0.9490516581509725,True,False
25178,LPLC1,R,2,4,6,,,66,6,396,6,acetylcholine,0.9503515690356404,True,False
12233,AVLP708m,R,0,6,6,,,66,4,396,6,acetylcholine,0.9271584150484898,True,False
15513,WED106,L,4,0,4,,,98,5,392,4,gaba,0.8300103610099586,True,False
409310159,UNKNOWN,UNKNOWN,0,26,26,,,15,5,390,15,unclear,0.9207506013268072,True,True
11430,LPT52,L,0,4,4,,,97,6,388,4,acetylcholine,0.9576109147204604,True,False
22754,LoVP26,R,5,30,35,,,11,4,385,11,acetylcholine,0.9617430521401221,True,True
11405,LAL016,R,0,77,77,,,5,4,385,5,acetylcholine,0.9627486916950314,True,False
14262,OCG06,L,7,0,7,,,55,9,385,7,acetylcholine,0.9341528868458245,True,False
12462,CB1717,L,5,2,7,,,55,11,385,7,acetylcholine,0.9394811232957454,True,False
102624,CB0115,R,1,20,21,,,18,7,378,18,gaba,0.8441022465864029,True,True
17852,CB0929,L,0,27,27,,,14,5,378,14,acetylcholine,0.9457668660188051,True,True
24597,CL053,L,0,14,14,,,27,9,378,14,acetylcholine,0.9487988387888069,True,True
555907,WED072,R,0,1,1,3244.0,0.00030826140567200987,377,17,377,1,acetylcholine,0.968590155929159,False,False
526623,MeLo13,L,27,20,47,,,8,1,376,8,glutamate,0.7563995445543227,True,False
20865,LPLC1,R,4,1,5,,,75,5,375,5,acetylcholine,0.9359355316943362,True,False
20758,LPLC1,L,1,2,3,,,125,7,375,3,acetylcholine,0.9321710866077072,True,False
11953,LT51,R,0,22,22,,,17,3,374,17,glutamate,0.7733004761494633,True,True
15283,PVLP070,L,0,23,23,,,16,3,368,16,acetylcholine,0.9635135384131472,True,True
534743,LPLC1,L,4,2,6,,,61,3,366,6,acetylcholine,0.9446169141454642,True,False
18383,LC14a-1,L,20,8,28,,,13,1,364,13,acetylcholine,0.9486909829253226,True,True
21895,LC31a,L,1,2,3,,,121,12,363,3,acetylcholine,0.9245933654891056,True,False
143239,LC31a,R,0,3,3,,,120,9,360,3,acetylcholine,0.9575111052468365,True,False
127314,CB4245,L,4,4,8,,,45,5,360,8,acetylcholine,0.9452228863275395,True,False
12608,AVLP609,R,0,9,9,,,40,6,360,9,gaba,0.8479674492644377,True,False
12225,LoVC15,L,3,2,5,,,72,8,360,5,gaba,0.8435823209813569,True,False
11169,LPT52,R,0,2,2,,,179,7,358,2,acetylcholine,0.9542314304593384,False,False
63015,LC31a,R,1,2,3,,,118,7,354,3,acetylcholine,0.9108375950021276,True,False
513120,PVLP126_a,R,0,11,11,,,32,3,352,11,acetylcholine,0.9094000208373916,True,True
15908,LoVP50,R,3,1,4,,,88,5,352,4,acetylcholine,0.9419665084477281,True,False
27887,CB0115,L,0,8,8,,,44,9,352,8,gaba,0.8034969057370501,True,False
14535,LPLC1,L,0,3,3,,,117,6,351,3,acetylcholine,0.9353643407024809,True,False
536164,LC35b,L,3,6,9,,,39,2,351,9,acetylcholine,0.9345915699793675,True,False
12773,AVLP316,L,0,14,14,,,25,3,350,14,acetylcholine,0.9580818299618288,True,True
555734,LPLC1,L,1,1,2,2873.0,0.0006961364427427776,175,5,350,2,acetylcholine,0.9574393991874046,False,False
19082,CB1314,R,4,0,4,,,87,11,348,4,gaba,0.8427704443900379,True,False
19440,AN09B016,L,1,0,1,2309.0,0.00043308791684711995,347,19,347,1,acetylcholine,0.9655087441787087,False,False
10325,AVLP572,R,1,1,2,10811.0,0.00018499676255665526,173,14,346,2,acetylcholine,0.9328879823997738,False,False
19403,LPLC1,R,0,3,3,,,115,6,345,3,acetylcholine,0.951279865499902,True,False
16485,CB4179,R,3,2,5,,,69,13,345,5,gaba,0.8765121127175213,True,False
32159,LC31a,L,1,2,3,,,115,12,345,3,acetylcholine,0.9055678179576118,True,False
22911,LPLC1,R,0,4,4,,,86,6,344,4,acetylcholine,0.9279598712690232,True,False
10069,AN07B004,R,3,0,3,,,113,11,339,3,gaba,0.8371982104343655,True,False
10241,AVLP001,R,0,1,1,48481.0,2.062663723933087e-05,335,15,335,1,gaba,0.8573102321500594,False,False
23906,LPLC1,R,4,1,5,,,67,6,335,5,acetylcholine,0.9579928600825689,True,False
536395,LPLC1,L,1,4,5,,,67,5,335,5,acetylcholine,0.9455483940692746,True,False
20074,LPLC1,L,3,1,4,,,83,5,332,4,acetylcholine,0.9315820024572796,True,False
10922,AN08B010,L,6,0,6,,,55,11,330,6,acetylcholine,0.9590517502365091,True,False
22192,WED015,L,7,0,7,,,47,5,329,7,gaba,0.7973134631798366,True,False
958377,UNKNOWN,UNKNOWN,41,0,41,,,8,4,328,8,gaba,0.8504229719536821,True,False
25289,VES023,L,2,0,2,,,163,19,326,2,gaba,0.8642862427874121,False,False
15976,LoVP26,L,0,13,13,,,25,4,325,13,acetylcholine,0.9429893374995615,True,True
49925,SAD021_a,L,5,0,5,,,65,7,325,5,gaba,0.7879892352716765,True,False
537899,LoVC18,R,0,6,6,,,54,20,324,6,dopamine,0.7207592096120917,True,False
512087,LPLC1,L,1,3,4,,,81,4,324,4,acetylcholine,0.946260451861093,True,False
84698,PVLP148,L,0,12,12,,,27,2,324,12,acetylcholine,0.9602278158920995,True,True
29383,LPLC1,L,4,0,4,,,81,6,324,4,acetylcholine,0.9564743932682028,True,False
115313,LPLC1,L,0,2,2,,,160,5,320,2,acetylcholine,0.9496292716857152,False,False
